count|name|units|Variable name in CDS|shortName|paramId|an|fc
1|Convective inhibition|J kg**-1|convective_inhibition|cin|228001||x
2|Friction velocity|m s**-1|friction_velocity|zust|228003||x
3|Lake mix-layer temperature|K|lake_mix_layer_temperature|lmlt|228008|x|x
4|Lake mix-layer depth|m|lake_mix_layer_depth|lmld|228009|x|x
5|Lake bottom temperature|K|lake_bottom_temperature|lblt|228010|x|x
6|Lake total layer temperature|K|lake_total_layer_temperature|ltlt|228011|x|x
7|Lake shape factor|dimensionless|lake_shape_factor|lshf|228012|x|x
8|Lake ice temperature|K|lake_ice_temperature|lict|228013|x|x
9|Lake ice depth|m|lake_ice_depth|licd|228014|x|x
10|UV visible albedo for direct radiation|(0 - 1)|uv_visible_albedo_for_direct_radiation|aluvp|15|x|x
11|Minimum vertical gradient of refractivity inside trapping layer|m**-1|minimum_vertical_gradient_of_refractivity_inside_trapping_layer|dndzn|228015||x
12|UV visible albedo for diffuse radiation|(0 - 1)|uv_visible_albedo_for_diffuse_radiation|aluvd|16|x|x
13|Mean vertical gradient of refractivity inside trapping layer|m**-1|mean_vertical_gradient_of_refractivity_inside_trapping_layer|dndza|228016||x
14|Near IR albedo for direct radiation|(0 - 1)|near_ir_albedo_for_direct_radiation|alnip|17|x|x
15|Duct base height|m|duct_base_height|dctb|228017||x
16|Near IR albedo for diffuse radiation|(0 - 1)|near_ir_albedo_for_diffuse_radiation|alnid|18|x|x
17|Trapping layer base height|m|trapping_layer_base_height|tplb|228018||x
18|Trapping layer top height|m|trapping_layer_top_height|tplt|228019||x
19|Cloud base height|m|cloud_base_height|cbh|228023||x
20|Zero degree level|m||deg0l|228024||x
21|Instantaneous 10 metre wind gust|m s**-1|instantaneous_10m_wind_gust|i10fg|228029||x
22|Sea ice area fraction|(0 - 1)|sea_ice_cover|ci|31|x|x
23|Snow albedo|(0 - 1)|snow_albedo|asn|32|x|x
24|Snow density|kg m**-3|snow_density|rsn|33|x|x
25|Sea surface temperature|K|sea_surface_temperature|sst|34|x|x
26|Ice temperature layer 1|K|ice_temperature_layer_1|istl1|35|x|x
27|Ice temperature layer 2|K|ice_temperature_layer_2|istl2|36|x|x
28|Ice temperature layer 3|K|ice_temperature_layer_3|istl3|37|x|x
29|Ice temperature layer 4|K|ice_temperature_layer_4|istl4|38|x|x
30|Volumetric soil water layer 11|m**3 m**-3|volumetric_soil_water_layer_1|swvl1|39|x|x
31|Volumetric soil water layer 21|m**3 m**-3|volumetric_soil_water_layer_2|swvl2|40|x|x
32|Volumetric soil water layer 31|m**3 m**-3|volumetric_soil_water_layer_3|swvl3|41|x|x
